model,vendor,family,arch,thinking,params_B,active_B,release_date,pen_acc,raw_acc,total,log10_params,log10_active,months,year_frac,date
mistral-7b,mistral,mistral,dense,False,7.2,7.2,2023-09-27,0.23500000000000001,0.3485714285714286,,0.8573324964312685,0.8573324964312685,-3.1333333333333333,-0.2611111111111111,2023-09-27
mixtral-8x7b,mistral,mixtral,moe,False,46.7,12.9,2023-12-11,0.3685714285714285,0.49785714285714283,,1.6693168805661123,1.110589710299249,-0.6666666666666667,-0.05555555555555556,2023-12-11
command-r-plus,cohere,command,dense,False,104.0,104.0,2024-04-04,0.38499999999999995,0.44142857142857145,,2.0170333392987803,2.0170333392987803,3.1,0.25833333333333336,2024-04-04
mixtral-8x22b,mistral,mixtral,moe,False,141.0,39.0,2024-04-17,0.46321428571428575,0.5285714285714286,,2.1492191126553797,1.591064607026499,3.533333333333333,0.29444444444444445,2024-04-17
llama-3-70b,meta,llama3,dense,False,70.6,70.6,2024-04-18,0.44821428571428573,0.5007142857142857,,1.8488047010518038,1.8488047010518038,3.5666666666666664,0.2972222222222222,2024-04-18
llama-3-8b,meta,llama3,dense,False,8.03,8.03,2024-04-18,0.30142857142857143,0.41214285714285714,,0.9047155452786809,0.9047155452786809,3.5666666666666664,0.2972222222222222,2024-04-18
phi-3-mini,microsoft,phi,dense,False,3.8,3.8,2024-04-23,0.19,0.2814285714285714,,0.5797835966168101,0.5797835966168101,3.7333333333333334,0.3111111111111111,2024-04-23
gemma-2-27b,google,gemma2,dense,False,27.0,27.0,2024-06-27,0.29964285714285716,0.39571428571428574,,1.4313637641589874,1.4313637641589874,5.866666666666667,0.48888888888888893,2024-06-27
mistral-nemo-12b,mistral,mistral,dense,False,12.0,12.0,2024-07-18,0.2814285714285714,0.405,,1.0791812460476249,1.0791812460476249,6.566666666666666,0.5472222222222222,2024-07-18
llama-3.1-8b,meta,llama,dense,False,8.03,8.03,2024-07-23,0.3378571428571429,0.39357142857142857,,0.9047155452786809,0.9047155452786809,6.733333333333333,0.5611111111111111,2024-07-23
llama-3.1-70b,meta,llama,dense,False,70.6,70.6,2024-07-23,0.4957142857142857,0.5307142857142857,,1.8488047010518038,1.8488047010518038,6.733333333333333,0.5611111111111111,2024-07-23
gemma-2-2b,google,gemma2,dense,False,2.6,2.6,2024-07-31,0.18928571428571428,0.26571428571428574,,0.414973347970818,0.414973347970818,7.0,0.5833333333333334,2024-07-31
hermes-3-405b,meta,llama,dense,False,405.0,405.0,2024-08-16,0.4382142857142857,0.45785714285714285,,2.6074550232146687,2.6074550232146687,7.5,0.625,2024-08-16
jamba-large,ai21,jamba,moe,False,398.0,94.0,2024-08-22,0.5107142857142858,0.5485714285714286,,2.5998830720736876,1.9731278535996986,7.7,0.6416666666666667,2024-08-22
qwen-2.5-72b,alibaba,qwen2.5,dense,False,72.7,72.7,2024-09-19,0.3821428571428572,0.4664285714285714,,1.861534410859038,1.861534410859038,8.6,0.7166666666666667,2024-09-19
qwen-2.5-0.5b,alibaba,qwen,dense,False,0.494,0.494,2024-09-19,0.12571428571428572,0.165,,-0.30627305107635305,-0.30627305107635305,8.6,0.7166666666666667,2024-09-19
qwen-2.5-7b,alibaba,qwen2.5,dense,False,7.62,7.62,2024-09-19,0.27285714285714285,0.32071428571428573,,0.8819549713396005,0.8819549713396005,8.6,0.7166666666666667,2024-09-19
llama-3.2-3b,meta,llama,dense,False,3.21,3.21,2024-09-25,0.26000000000000006,0.3157142857142857,,0.5065050324048721,0.5065050324048721,8.8,0.7333333333333334,2024-09-25
llama-3.2-1b,meta,llama,dense,False,1.24,1.24,2024-09-25,0.17071428571428574,0.23642857142857143,,0.09342168516223506,0.09342168516223506,8.8,0.7333333333333334,2024-09-25
nemotron-70b,nvidia,nemotron,dense,False,70.0,70.0,2024-10-15,0.5285714285714286,0.575,,1.845098040014257,1.845098040014257,9.466666666666667,0.7888888888888889,2024-10-15
ministral-3b,mistral,mistral,dense,False,3.0,3.0,2024-10-16,0.24285714285714288,0.32857142857142857,,0.47712125471966244,0.47712125471966244,9.5,0.7916666666666666,2024-10-16
ministral-8b,mistral,mistral,dense,False,8.0,8.0,2024-10-16,0.29607142857142854,0.405,,0.9030899869919435,0.9030899869919435,9.5,0.7916666666666666,2024-10-16
smollm2-360m,huggingface,smollm,dense,False,0.362,0.362,2024-11-01,0.10357142857142856,0.20857142857142857,,-0.4412914294668343,-0.4412914294668343,10.0,0.8333333333333334,2024-11-01
smollm2-1.7b,huggingface,smollm2,dense,False,1.7,1.7,2024-11-01,0.21428571428571427,0.28,,0.2304489213782739,0.2304489213782739,10.0,0.8333333333333334,2024-11-01
smollm2-135m,huggingface,smollm,dense,False,0.135,0.135,2024-11-01,0.0,0.11714285714285715,,-0.8696662315049939,-0.8696662315049939,10.0,0.8333333333333334,2024-11-01
mistral-large,mistral,mistral,dense,False,123.0,123.0,2024-11-18,0.4707142857142857,0.515,,2.089905111439398,2.089905111439398,10.566666666666666,0.8805555555555555,2024-11-18
llama-3.3-70b,meta,llama,dense,False,70.6,70.6,2024-12-06,0.4857142857142857,0.5671428571428572,,1.8488047010518038,1.8488047010518038,11.166666666666666,0.9305555555555555,2024-12-06
phi-4,microsoft,phi,dense,False,14.7,14.7,2024-12-12,0.30428571428571427,0.3942857142857143,,1.167317334748176,1.167317334748176,11.366666666666667,0.9472222222222223,2024-12-12
command-r7b,cohere,command,dense,False,7.0,7.0,2024-12-13,0.23214285714285715,0.3364285714285714,,0.8450980400142568,0.8450980400142568,11.4,0.9500000000000001,2024-12-13
deepseek-v3,deepseek,deepseek,moe,False,671.0,37.0,2024-12-26,0.5403571428571429,0.605,,2.826722520168992,1.568201724066995,11.833333333333334,0.9861111111111112,2024-12-26
deepseek-r1-distill-llama-70b-think,deepseek,deepseek-distill,dense,True,70.0,70.0,2025-01-20,0.3907142857142857,0.5092857142857142,,1.845098040014257,1.845098040014257,12.633333333333333,1.0527777777777778,2025-01-20
deepseek-r1-distill-qwen-32b-think,deepseek,deepseek-distill,dense,True,32.0,32.0,2025-01-20,0.30214285714285716,0.38285714285714284,,1.505149978319906,1.505149978319906,12.633333333333333,1.0527777777777778,2025-01-20
deepseek-r1-think,deepseek,deepseek,moe,True,671.0,37.0,2025-01-20,0.5192857142857142,0.6092857142857143,,2.826722520168992,1.568201724066995,12.633333333333333,1.0527777777777778,2025-01-20
mistral-small-24b,mistral,mistral,dense,False,24.0,24.0,2025-01-30,0.39678571428571424,0.4521428571428571,,1.380211241711606,1.380211241711606,12.966666666666667,1.0805555555555555,2025-01-30
qwq-32b-think,alibaba,qwen2.5,dense,False,32.0,32.0,2025-03-06,0.33964285714285714,0.435,,1.505149978319906,1.505149978319906,14.166666666666666,1.1805555555555556,2025-03-06
gemma-3-4b,google,gemma3,dense,False,4.0,4.0,2025-03-12,0.22,0.29642857142857143,,0.6020599913279624,0.6020599913279624,14.366666666666667,1.1972222222222222,2025-03-12
gemma-3-12b,google,gemma3,dense,False,12.0,12.0,2025-03-12,0.26142857142857145,0.36857142857142855,,1.0791812460476249,1.0791812460476249,14.366666666666667,1.1972222222222222,2025-03-12
gemma-3-27b,google,gemma3,dense,False,27.0,27.0,2025-03-12,0.3092857142857143,0.42142857142857143,,1.4313637641589874,1.4313637641589874,14.366666666666667,1.1972222222222222,2025-03-12
gemma-3-1b,google,gemma3,dense,False,1.0,1.0,2025-03-12,0.09142857142857143,0.20214285714285715,,0.0,0.0,14.366666666666667,1.1972222222222222,2025-03-12
gemma-3-270m,google,gemma,dense,False,0.268,0.268,2025-03-12,0.0014285714285714286,0.07214285714285715,,-0.5718652059712112,-0.5718652059712112,14.366666666666667,1.1972222222222222,2025-03-12
command-a,cohere,command,dense,False,111.0,111.0,2025-03-13,0.47821428571428576,0.5571428571428572,,2.0453229787866576,2.0453229787866576,14.4,1.2,2025-03-13
nemotron-super-49b-think,nvidia,nemotron,dense,True,49.0,49.0,2025-03-18,0.31999999999999995,0.4142857142857143,,1.6901960800285136,1.6901960800285136,14.566666666666666,1.2138888888888888,2025-03-18
llama-4-scout,meta,llama4,moe,False,109.0,17.0,2025-04-05,0.3182142857142857,0.4521428571428571,,2.037426497940624,1.2304489213782739,15.133333333333333,1.261111111111111,2025-04-05
llama-4-maverick,meta,llama4,moe,False,402.0,17.0,2025-04-05,0.5257142857142857,0.6128571428571429,,2.60422605308447,1.2304489213782739,15.133333333333333,1.261111111111111,2025-04-05
glm-4-32b,zhipu,glm,dense,False,32.0,32.0,2025-04-15,0.34249999999999997,0.4614285714285714,,1.505149978319906,1.505149978319906,15.466666666666667,1.288888888888889,2025-04-15
granite-3.3-2b,ibm,granite,dense,False,2.0,2.0,2025-04-15,0.18785714285714286,0.2757142857142857,,0.3010299956639812,0.3010299956639812,15.466666666666667,1.288888888888889,2025-04-15
qwen3-235b-a22b-think,alibaba,qwen3,moe,True,235.0,22.0,2025-04-29,0.43535714285714283,0.5128571428571429,,2.3710678622717363,1.3424226808222062,15.933333333333334,1.3277777777777777,2025-04-29
qwen3-14b-think,alibaba,qwen3,dense,True,14.0,14.0,2025-04-29,0.32035714285714284,0.3992857142857143,,1.146128035678238,1.146128035678238,15.933333333333334,1.3277777777777777,2025-04-29
qwen3-30b-a3b-think,alibaba,qwen3,moe,True,30.0,3.0,2025-04-29,0.34249999999999997,0.4142857142857143,,1.4771212547196624,0.47712125471966244,15.933333333333334,1.3277777777777777,2025-04-29
qwen3-32b-think,alibaba,qwen3,dense,True,32.0,32.0,2025-04-29,0.35857142857142854,0.4207142857142857,,1.505149978319906,1.505149978319906,15.933333333333334,1.3277777777777777,2025-04-29
qwen3-0.6b,alibaba,qwen,dense,False,0.596,0.596,2025-04-29,0.02642857142857143,0.105,,-0.22475374025976358,-0.22475374025976358,15.933333333333334,1.3277777777777777,2025-04-29
qwen3-8b-think,alibaba,qwen3,dense,True,8.0,8.0,2025-04-29,0.2642857142857143,0.3628571428571429,,0.9030899869919435,0.9030899869919435,15.933333333333334,1.3277777777777777,2025-04-29
minimax-m1-think,minimax,minimax,moe,True,456.0,45.9,2025-06-16,0.1142857142857143,0.34214285714285714,,2.658964842664435,1.6618126855372612,17.5,1.4583333333333333,2025-06-16
gemma-3n-e4b,google,gemma3n,dense,False,4.0,4.0,2025-06-26,0.24714285714285714,0.32142857142857145,,0.6020599913279624,0.6020599913279624,17.833333333333332,1.486111111111111,2025-06-26
hunyuan-a13b-think,tencent,hunyuan,moe,True,80.0,13.0,2025-06-27,0.23285714285714285,0.3264285714285714,,1.9030899869919435,1.1139433523068367,17.866666666666667,1.488888888888889,2025-06-27
hunyuan-a13b,tencent,hunyuan,moe,False,80.0,13.0,2025-06-27,0.23357142857142857,0.3171428571428571,,1.9030899869919435,1.1139433523068367,17.866666666666667,1.488888888888889,2025-06-27
ernie-4.5-300b-a47b,baidu,ernie,moe,False,300.0,47.0,2025-06-30,0.4471428571428572,0.4992857142857143,,2.4771212547196626,1.6720978579357175,17.966666666666665,1.497222222222222,2025-06-30
kimi-k2,moonshot,kimi,moe,False,1000.0,32.0,2025-07-11,0.5182142857142856,0.5835714285714285,,3.0,1.505149978319906,18.333333333333332,1.5277777777777777,2025-07-11
glm-4.5-think,zhipu,glm,moe,True,355.0,32.0,2025-07-28,0.5310714285714285,0.5878571428571429,,2.550228353055094,1.505149978319906,18.9,1.575,2025-07-28
glm-4.5-air-think,zhipu,glm,moe,True,106.0,12.0,2025-07-28,0.4428571428571429,0.5478571428571428,,2.0253058652647704,1.0791812460476249,18.9,1.575,2025-07-28
gpt-oss-20b-think,openai,gpt-oss,dense,True,20.0,20.0,2025-08-05,0.30357142857142855,0.39357142857142857,,1.3010299956639813,1.3010299956639813,19.133333333333333,1.5944444444444443,2025-08-05
gpt-oss-120b-think,openai,gpt-oss,dense,True,120.0,120.0,2025-08-05,0.3792857142857143,0.5078571428571429,,2.0791812460476247,2.0791812460476247,19.133333333333333,1.5944444444444443,2025-08-05
nemotron-nano-9b-v2,nvidia,nemotron,dense,False,9.0,9.0,2025-08-15,0.295,0.3342857142857143,,0.9542425094393249,0.9542425094393249,19.466666666666665,1.622222222222222,2025-08-15
hermes-4-405b,meta,llama,dense,False,405.0,405.0,2025-08-26,0.49464285714285705,0.5178571428571429,,2.6074550232146687,2.6074550232146687,19.833333333333332,1.6527777777777777,2025-08-26
qwen3-next-80b-a3b,alibaba,qwen3,moe,False,80.0,3.0,2025-09-11,0.4421428571428571,0.52,,1.9030899869919435,0.47712125471966244,20.333333333333332,1.6944444444444444,2025-09-11
deepseek-v3.2-think,deepseek,deepseek,moe,True,671.0,37.0,2025-09-29,0.5314285714285714,0.6207142857142857,,2.826722520168992,1.568201724066995,20.933333333333334,1.7444444444444445,2025-09-29
deepseek-v3.2,deepseek,deepseek,moe,False,671.0,37.0,2025-09-29,0.5042857142857143,0.5578571428571428,,2.826722520168992,1.568201724066995,20.933333333333334,1.7444444444444445,2025-09-29
