model,actual_B,type,acc_0.0,pred_B_0.0,acc_-0.25,pred_B_-0.25,acc_-0.5,pred_B_-0.5,acc_-1.0,pred_B_-1.0,acc_-1.5,pred_B_-1.5,acc_-2.0,pred_B_-2.0,acc_-3.0,pred_B_-3.0
gemini-3.1-pro,,proprietary,0.8418,15052.8,0.8307,21028.1,0.8196,26681.1,0.8114,40652.8,0.8054,64004.4,0.7993,97257.4,0.7871,181683.8
gemini-3-flash,,proprietary,0.8189,10577.8,0.7859,10614.9,0.7693,12273.6,0.745,14388.0,0.7207,16414.9,0.6964,17640.2,0.6479,16053.3
gemini-3-flash-think,,proprietary,0.8257,11745.8,0.7889,11117.9,0.7779,14007.9,0.7557,17012.0,0.7336,20183.9,0.7114,22627.0,0.6671,22463.0
gemini-3.1-flash-lite,,proprietary,0.73,2680.8,0.6863,2322.3,0.6593,2250.7,0.6096,1733.2,0.5886,1961.6,0.5675,2075.7,0.5254,1900.2
gemini-2.5-pro,,proprietary,0.7311,2725.5,0.6779,2043.2,0.6464,1846.0,0.5836,1152.9,0.5461,990.6,0.5154,873.6,0.4954,1126.8
gemini-2.5-flash,,proprietary,0.575,245.0,0.5436,263.5,0.5171,251.4,0.4736,206.5,0.4382,174.9,0.4125,158.4,0.3675,121.5
claude-opus-4.7-think,,proprietary,0.7239,2440.9,0.7077,3219.9,0.6914,3694.7,0.6636,4027.6,0.6418,4614.9,0.6261,5487.2,0.6068,7849.5
claude-opus-4.6-think,,proprietary,0.7543,3899.9,0.73,4525.8,0.7086,4812.6,0.6804,5236.4,0.6521,5451.0,0.6357,6439.6,0.615,9057.0
claude-opus-4.5-think,,proprietary,0.6929,1511.0,0.6763,1993.8,0.6675,2554.7,0.6521,3368.5,0.6368,4258.4,0.6214,5080.3,0.6064,7800.8
claude-sonnet-4.6-think,,proprietary,0.6939,1536.2,0.662,1603.4,0.6364,1582.2,0.6093,1723.5,0.5907,2030.4,0.5721,2241.9,0.535,2247.8
claude-sonnet-4-think,,proprietary,0.5525,173.1,0.5436,263.5,0.535,331.1,0.5225,443.7,0.5125,577.4,0.5039,722.6,0.4868,970.5
claude-haiku-4.5,,proprietary,0.4461,33.5,0.4286,45.6,0.4164,53.2,0.3993,64.6,0.3825,71.4,0.3657,72.9,0.3321,65.6
gpt-5-think,,proprietary,0.7393,3093.9,0.7161,3659.7,0.6929,3777.0,0.6643,4072.9,0.6375,4307.6,0.6271,5585.7,0.6121,8617.3
gpt-5,,proprietary,0.7361,2944.1,0.7137,3532.3,0.6914,3694.7,0.6614,3894.9,0.6354,4161.8,0.6161,4648.0,0.5982,6760.7
gpt-5.5-think,,proprietary,0.7996,7854.4,0.7696,8284.8,0.7457,8533.4,0.7193,9624.6,0.6929,10489.1,0.6664,10721.5,0.6175,9460.2
gpt-5.4,,proprietary,0.68,1239.0,0.6423,1188.3,0.6168,1168.7,0.5768,1036.9,0.5529,1104.8,0.5289,1094.3,0.4821,895.1
gpt-5.1,,proprietary,0.6579,880.3,0.6384,1119.2,0.6207,1241.7,0.5932,1340.5,0.5657,1358.4,0.5439,1403.6,0.5096,1445.2
gpt-5-mini,,proprietary,0.5389,140.4,0.5329,223.8,0.5268,291.7,0.5171,408.0,0.5093,548.3,0.5018,697.4,0.4904,1032.8
gpt-5-nano,,proprietary,0.4318,26.9,0.4232,42.0,0.4161,52.9,0.405,70.7,0.3943,86.3,0.3836,98.0,0.3621,110.7
o3,,proprietary,0.74,3128.2,0.7105,3363.4,0.6811,3149.3,0.6443,2979.1,0.6157,3034.8,0.6032,3754.9,0.5782,4771.8
o1,,proprietary,0.7125,2046.2,0.6961,2697.5,0.6796,3080.7,0.6536,3444.6,0.6339,4067.3,0.6143,4512.3,0.5911,5969.7
o3-mini,,proprietary,0.5021,79.6,0.4739,91.1,0.4571,99.7,0.4371,116.8,0.4171,124.7,0.3971,122.8,0.3743,136.7
gpt-4.1,,proprietary,0.7357,2928.0,0.6948,2646.6,0.6686,2597.2,0.6232,2142.9,0.5986,2303.8,0.5807,2584.7,0.545,2675.5
gpt-4.1-mini,,proprietary,0.6236,518.6,0.5566,321.5,0.5246,282.3,0.4754,212.3,0.4482,205.4,0.4261,198.5,0.3818,155.8
gpt-4o,,proprietary,0.605,389.3,0.5886,523.5,0.5736,600.2,0.5532,717.2,0.5343,819.6,0.5246,1019.1,0.5054,1341.2
gpt-4-turbo,,proprietary,0.6125,437.1,0.577,438.6,0.56,486.9,0.5446,627.3,0.5293,756.3,0.5139,853.1,0.4832,912.0
gpt-4,1800,proprietary,0.6211,498.9,0.5966,591.8,0.5768,630.7,0.5482,663.3,0.5314,782.8,0.5146,863.3,0.4811,878.5
grok-3,,proprietary,0.7061,1852.9,0.6832,2217.2,0.6604,2288.2,0.6229,2131.0,0.6025,2454.0,0.5864,2841.8,0.5543,3145.3
grok-4,,proprietary,0.7168,2186.1,0.6996,2848.5,0.6825,3219.5,0.6482,3167.8,0.6179,3141.2,0.6036,3777.2,0.5764,4625.7
grok-4.20,,proprietary,0.5225,109.0,0.4904,117.1,0.4675,116.9,0.4321,108.0,0.4064,104.9,0.3807,93.5,0.3479,86.3
qwen3-max,,proprietary,0.6279,554.0,0.5964,590.1,0.5757,620.4,0.55,682.1,0.5243,697.9,0.4986,661.2,0.4532,540.8
qwen3.6-plus-think,,proprietary,0.6082,409.1,0.5957,583.8,0.5832,696.5,0.5611,811.0,0.545,973.7,0.5289,1094.3,0.4968,1155.2
qwen-plus,,proprietary,0.5589,191.2,0.5287,210.2,0.5104,226.5,0.4736,206.5,0.4493,209.0,0.4293,209.4,0.3893,177.6
qwen-max,,proprietary,0.4886,64.5,0.4675,82.6,0.4489,87.8,0.4179,86.4,0.3925,83.9,0.3671,74.6,0.3364,70.7
qwen-turbo,,proprietary,0.385,13.0,0.352,14.2,0.3221,12.4,0.2943,12.5,0.2664,11.1,0.2543,11.5,0.2443,14.2
kimi-k2,1000,open,0.5964,341.1,0.5723,408.6,0.5482,406.0,0.5182,414.9,0.4918,413.9,0.4654,381.0,0.4186,295.7
kimi-k2.5-think,1040,open,0.6979,1632.3,0.6621,1607.8,0.6561,2141.9,0.6439,2962.5,0.6318,3929.5,0.6196,4931.9,0.5954,6432.5
kimi-k2.6-think,1040,open,0.6554,847.0,0.6375,1104.1,0.6289,1409.4,0.6239,2167.0,0.6189,3195.8,0.6139,4485.6,0.6039,7468.4
mistral-medium-3.1,,proprietary,0.5721,234.5,0.5561,318.9,0.5414,365.6,0.5204,429.1,0.4993,466.9,0.4782,471.6,0.4375,411.3
mistral-large,123,open,0.5207,106.0,0.5062,149.2,0.4921,171.0,0.4707,197.4,0.4496,210.2,0.4286,206.9,0.3875,172.1
ernie-4.5-300b-a47b,300,open,0.5004,77.4,0.482,103.0,0.4704,122.2,0.4471,136.6,0.4239,139.0,0.4007,130.3,0.3664,119.2
command-a,111,open,0.5629,203.1,0.535,231.2,0.5121,232.8,0.4782,222.0,0.4496,210.2,0.4304,213.1,0.3918,185.5
hy3-preview,,proprietary,0.6829,1294.9,0.637,1095.1,0.6079,1018.4,0.5811,1108.7,0.5543,1130.4,0.5275,1068.6,0.4889,1007.4
nova-premier,,proprietary,0.6014,368.4,0.5564,320.6,0.5311,311.7,0.4875,256.7,0.4689,286.6,0.4504,297.0,0.4132,269.4
nova-pro,,proprietary,0.5168,99.8,0.4721,88.7,0.4429,80.0,0.4071,73.1,0.3714,59.8,0.3525,58.5,0.3296,62.8
nova-micro,,proprietary,0.3775,11.6,0.3336,10.7,0.3079,10.0,0.2743,9.2,0.2629,10.4,0.2586,12.3,0.25,15.7
jamba-large,398,open,0.5564,184.0,0.545,269.3,0.5336,323.9,0.5107,369.0,0.49,402.2,0.4714,421.4,0.4343,388.9
deepseek-v4-flash,284,open,0.6843,1323.8,0.6384,1119.2,0.6061,990.7,0.5625,829.3,0.5311,778.3,0.4996,673.0,0.4736,770.9
deepseek-v4-pro,1600,open,0.6579,880.3,0.6384,1119.2,0.6232,1290.5,0.5989,1465.8,0.5764,1613.8,0.5632,1933.1,0.5368,2318.8
deepseek-v4-flash-think,284,open,0.6854,1345.8,0.6405,1156.4,0.6079,1018.4,0.5686,911.9,0.5379,868.0,0.5071,762.2,0.4818,889.5
deepseek-v4-pro-think,1600,open,0.7193,2272.1,0.6877,2373.4,0.6564,2153.7,0.6129,1822.5,0.5929,2101.6,0.5743,2323.1,0.5371,2333.3
deepseek-v3,671,open,0.6107,425.2,0.5798,458.1,0.5618,500.5,0.5404,586.6,0.5189,640.3,0.4975,649.5,0.4618,627.9
kimi-k2.5-think,1040,open,0.6979,1632.3,0.6621,1607.8,0.6561,2141.9,0.6439,2962.5,0.6318,3929.5,0.6196,4931.9,0.5954,6432.5
