model,params_B,family,vendor,thinking,acc_pm0_50,raw_pm0_50,correct_pm0_50,wrong_pm0_50,total_pm0_50,T1_pm0_50,T2_pm0_50,T3_pm0_50,T4_pm0_50,T5_pm0_50,T6_pm0_50,T7_pm0_50,acc_pm1_00,raw_pm1_00,correct_pm1_00,wrong_pm1_00,total_pm1_00,T1_pm1_00,T2_pm1_00,T3_pm1_00,T4_pm1_00,T5_pm1_00,T6_pm1_00,T7_pm1_00,acc_pm1_50,raw_pm1_50,correct_pm1_50,wrong_pm1_50,total_pm1_50,T1_pm1_50,T2_pm1_50,T3_pm1_50,T4_pm1_50,T5_pm1_50,T6_pm1_50,T7_pm1_50,acc_pm2_00,raw_pm2_00,correct_pm2_00,wrong_pm2_00,total_pm2_00,T1_pm2_00,T2_pm2_00,T3_pm2_00,T4_pm2_00,T5_pm2_00,T6_pm2_00,T7_pm2_00
claude-3-haiku,,claude,anthropic,?,0.3854,0.4,560,41,1400,0.9925,0.94,0.5375,0.2025,0.02,0.005,0.0,0.3714,0.4,560,41,1400,0.99,0.92,0.505,0.165,0.015,0.005,0.0,0.3575,0.4,560,41,1400,0.9875,0.9,0.4725,0.1275,0.01,0.005,0.0,0.3436,0.4,560,41,1400,0.985,0.88,0.44,0.09,0.005,0.005,0.0
claude-3.5-haiku,,claude,anthropic,?,0.51,0.5393,755,89,1400,0.9875,0.9925,0.755,0.5675,0.225,0.0425,0.0,0.4821,0.5393,755,89,1400,0.985,0.99,0.715,0.505,0.165,0.015,0.0,0.4561,0.5393,755,89,1400,0.9825,0.9875,0.675,0.4425,0.105,0.0,0.0,0.4321,0.5393,755,89,1400,0.98,0.985,0.635,0.38,0.045,0.0,0.0
claude-3.7-sonnet-think,,claude,anthropic,?,0.6004,0.6164,863,45,1400,0.9875,0.985,0.8925,0.745,0.4725,0.1125,0.0075,0.59,0.6164,863,45,1400,0.985,0.98,0.885,0.72,0.465,0.095,0.0,0.5807,0.6164,863,45,1400,0.9825,0.975,0.8775,0.695,0.4575,0.0775,0.0,0.5714,0.6164,863,45,1400,0.98,0.97,0.87,0.67,0.45,0.06,0.0
claude-3.7-sonnet,,claude,anthropic,?,0.6814,0.7229,1012,120,1400,0.9875,1.0,0.95,0.8325,0.7225,0.2775,0.0,0.6543,0.7229,1012,120,1400,0.985,1.0,0.935,0.79,0.685,0.185,0.0,0.6271,0.7229,1012,120,1400,0.9825,1.0,0.92,0.7475,0.6475,0.0925,0.0,0.6,0.7229,1012,120,1400,0.98,1.0,0.905,0.705,0.61,0.0,0.0
claude-haiku-4.5-think,,claude,anthropic,?,0.4725,0.5071,710,105,1400,0.9775,0.9925,0.8,0.4625,0.075,0.0,0.0,0.4471,0.5071,710,105,1400,0.97,0.99,0.765,0.39,0.015,0.0,0.0,0.4282,0.5071,710,105,1400,0.9625,0.9875,0.73,0.3175,0.0,0.0,0.0,0.4114,0.5071,710,105,1400,0.955,0.985,0.695,0.245,0.0,0.0,0.0
claude-haiku-4.5,,claude,anthropic,?,0.4407,0.47,658,110,1400,0.9925,0.9775,0.6875,0.395,0.0325,0.0,0.0,0.4193,0.47,658,110,1400,0.99,0.97,0.645,0.33,0.0,0.0,0.0,0.4025,0.47,658,110,1400,0.9875,0.9625,0.6025,0.265,0.0,0.0,0.0,0.3857,0.47,658,110,1400,0.985,0.955,0.56,0.2,0.0,0.0,0.0
claude-opus-4-think,,claude,anthropic,?,0.5882,0.6043,846,53,1400,0.995,0.995,0.96,0.7125,0.3625,0.0925,0.0,0.5779,0.6043,846,53,1400,0.995,0.995,0.955,0.69,0.345,0.065,0.0,0.5675,0.6043,846,53,1400,0.995,0.995,0.95,0.6675,0.3275,0.0375,0.0,0.5571,0.6043,846,53,1400,0.995,0.995,0.945,0.645,0.31,0.01,0.0
claude-opus-4.1-think,,claude,anthropic,?,0.6743,0.7,980,79,1400,0.9875,1.0,0.9775,0.905,0.6575,0.1925,0.0,0.6593,0.7,980,79,1400,0.985,1.0,0.975,0.885,0.63,0.14,0.0,0.6443,0.7,980,79,1400,0.9825,1.0,0.9725,0.865,0.6025,0.0875,0.0,0.6293,0.7,980,79,1400,0.98,1.0,0.97,0.845,0.575,0.035,0.0
claude-opus-4.1,,claude,anthropic,?,0.5386,0.555,777,54,1400,0.99,1.0,0.875,0.6325,0.235,0.0375,0.0,0.5293,0.555,777,54,1400,0.99,1.0,0.865,0.61,0.23,0.01,0.0,0.5225,0.555,777,54,1400,0.99,1.0,0.855,0.5875,0.225,0.0,0.0,0.5171,0.555,777,54,1400,0.99,1.0,0.845,0.565,0.22,0.0,0.0
claude-opus-4.5-think,,claude,anthropic,?,0.6782,0.7036,985,94,1400,1.0,1.0,0.9825,0.9075,0.665,0.1925,0.0,0.6636,0.7036,985,94,1400,1.0,1.0,0.98,0.89,0.635,0.14,0.0,0.6489,0.7036,985,94,1400,1.0,1.0,0.9775,0.8725,0.605,0.0875,0.0,0.6343,0.7036,985,94,1400,1.0,1.0,0.975,0.855,0.575,0.035,0.0
